timestamp,plant_id,actual_mw,curtailment_flag,outage_flag,telemetry_missing_flag
2025-01-01 00:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 01:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 02:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 03:00:00,SOLAR-01,0.257,0,0,0
2025-01-01 04:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 05:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 06:00:00,SOLAR-01,,0,0,1
2025-01-01 07:00:00,SOLAR-01,8.169,0,0,0
2025-01-01 08:00:00,SOLAR-01,,0,0,1
2025-01-01 09:00:00,SOLAR-01,28.808,0,0,0
2025-01-01 10:00:00,SOLAR-01,27.559,0,0,0
2025-01-01 11:00:00,SOLAR-01,30.24,0,0,0
2025-01-01 12:00:00,SOLAR-01,29.006,0,0,0
2025-01-01 13:00:00,SOLAR-01,37.56,0,0,0
2025-01-01 14:00:00,SOLAR-01,29.258,0,0,0
2025-01-01 15:00:00,SOLAR-01,21.344,0,0,0
2025-01-01 16:00:00,SOLAR-01,21.931,0,0,0
2025-01-01 17:00:00,SOLAR-01,7.457,0,0,0
2025-01-01 18:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 19:00:00,SOLAR-01,1.323,0,0,0
2025-01-01 20:00:00,SOLAR-01,2.135,0,0,0
2025-01-01 21:00:00,SOLAR-01,0.0,0,0,0
2025-01-01 22:00:00,SOLAR-01,0.544,0,0,0
2025-01-01 23:00:00,SOLAR-01,2.221,0,0,0
2025-01-02 00:00:00,SOLAR-01,0.451,0,0,0
2025-01-02 01:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 02:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 03:00:00,SOLAR-01,2.09,0,0,0
2025-01-02 04:00:00,SOLAR-01,0.929,0,0,0
2025-01-02 05:00:00,SOLAR-01,0.142,0,0,0
2025-01-02 06:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 07:00:00,SOLAR-01,5.779,0,0,0
2025-01-02 08:00:00,SOLAR-01,17.314,0,0,0
2025-01-02 09:00:00,SOLAR-01,23.957,0,0,0
2025-01-02 10:00:00,SOLAR-01,24.23,0,0,0
2025-01-02 11:00:00,SOLAR-01,30.269,0,0,0
2025-01-02 12:00:00,SOLAR-01,33.78,0,0,0
2025-01-02 13:00:00,SOLAR-01,26.715,0,0,0
2025-01-02 14:00:00,SOLAR-01,31.902,0,0,0
2025-01-02 15:00:00,SOLAR-01,19.988,0,0,0
2025-01-02 16:00:00,SOLAR-01,14.858,0,0,0
2025-01-02 17:00:00,SOLAR-01,9.165,0,0,0
2025-01-02 18:00:00,SOLAR-01,0.135,0,0,0
2025-01-02 19:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 20:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 21:00:00,SOLAR-01,0.844,0,0,0
2025-01-02 22:00:00,SOLAR-01,0.0,0,0,0
2025-01-02 23:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 00:00:00,SOLAR-01,0.311,0,0,0
2025-01-03 01:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 02:00:00,SOLAR-01,0.944,0,0,0
2025-01-03 03:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 04:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 05:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 06:00:00,SOLAR-01,2.493,0,0,0
2025-01-03 07:00:00,SOLAR-01,5.408,0,0,0
2025-01-03 08:00:00,SOLAR-01,14.184,0,0,0
2025-01-03 09:00:00,SOLAR-01,19.407,0,0,0
2025-01-03 10:00:00,SOLAR-01,19.188,0,0,0
2025-01-03 11:00:00,SOLAR-01,34.708,0,0,0
2025-01-03 12:00:00,SOLAR-01,30.882,0,0,0
2025-01-03 13:00:00,SOLAR-01,33.559,0,0,0
2025-01-03 14:00:00,SOLAR-01,23.019,0,0,0
2025-01-03 15:00:00,SOLAR-01,21.772,0,0,0
2025-01-03 16:00:00,SOLAR-01,10.821,0,0,0
2025-01-03 17:00:00,SOLAR-01,7.547,0,0,0
2025-01-03 18:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 19:00:00,SOLAR-01,0.775,1,0,0
2025-01-03 20:00:00,SOLAR-01,2.612,0,0,0
2025-01-03 21:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 22:00:00,SOLAR-01,0.0,0,0,0
2025-01-03 23:00:00,SOLAR-01,0.733,0,0,0
2025-01-04 00:00:00,SOLAR-01,2.511,0,0,0
2025-01-04 01:00:00,SOLAR-01,0.0,0,0,0
2025-01-04 02:00:00,SOLAR-01,0.846,0,0,0
2025-01-04 03:00:00,SOLAR-01,0.0,0,0,0
2025-01-04 04:00:00,SOLAR-01,0.0,0,0,0
2025-01-04 05:00:00,SOLAR-01,1.323,0,0,0
2025-01-04 06:00:00,SOLAR-01,0.0,0,0,0
2025-01-04 07:00:00,SOLAR-01,4.147,0,0,0
2025-01-04 08:00:00,SOLAR-01,17.495,0,0,0
2025-01-04 09:00:00,SOLAR-01,17.037,1,0,0
2025-01-04 10:00:00,SOLAR-01,26.76,0,0,0
2025-01-04 11:00:00,SOLAR-01,32.05,0,0,0
2025-01-04 12:00:00,SOLAR-01,33.081,0,0,0
